id,full_name,p_b,job,country,state,city,marketing,series,no_of_units,warranty
4236,Brigitte MacDermid,Business,Chef,United States,California,Los Angeles,Tech Blogs,Servers,56,6
4237,Jammal Hebbes,Business,Chef,United States,California,Fullerton,Social Networks,Servers,98,24
4238,See Kitley,Personal,Game developer,Canada,Ontario,Petawawa,Tech Blogs,XPS,1,24
4239,Andria Pym,Business,Student,United States,California,San Francisco,Offline,Servers,53,24
4240,Dolph Kirkebye,Personal,Chef,Canada,Ontario,Ajax,Recommendation,XPS,2,36
4241,Oby Riseborough,Personal,Student,Canada,Ontario,Carleton Place,Recommendation,XPS,2,6
4242,Merla Barrasse,Business,Chef,United States,California,Santa Monica,Tech Blogs,Servers,40,12
4243,Erwin Zorener,Personal,Software Engineer,Canada,Ontario,Orangeville,Offline,XPS,2,36
4244,Andriana MacGillreich,Personal,Software Engineer,United States,California,Sacramento,Offline,Servers,2,24
4245,Cristabel Burghall,Business,Software Engineer,United States,California,Huntington Beach,Offline,Servers,97,6
4246,Franny Dunsford,Personal,Software Engineer,Canada,Ontario,Innisfil,Tech Blogs,XPS,2,12
4247,Melisa Sanchis,Business,Game developer,Canada,Ontario,Belleville,Social Networks,XPS,32,6
4248,Catherin Sawter,Business,Game developer,United States,California,Pasadena,Social Networks,Servers,93,6
4249,Seka Wittleton,Business,Software Engineer,United States,California,Los Angeles,Social Networks,Servers,46,6
4250,Dunc Everington,Personal,Software Engineer,United States,California,San Diego,Recommendation,Servers,2,12
4251,Desiri Elphinston,Business,Game developer,Canada,Ontario,North York,Social Networks,XPS,90,24
4252,Eb Lomasna,Personal,Software Engineer,United States,California,San Jose,Offline,Servers,2,12
4253,Tomlin Serrurier,Business,Software Engineer,Canada,Ontario,Vaughan,Social Networks,XPS,77,12
4254,Cairistiona Cud,Personal,Chef,United States,California,Corona,Tech Blogs,Servers,1,12
4255,Gabbi Cesconi,Personal,Software Engineer,United States,California,Corona,Recommendation,Servers,2,6
4256,Lotti Dundridge,Personal,Game developer,United States,California,Bakersfield,Offline,Servers,2,6
4257,Stewart World,Business,Software Engineer,Canada,Ontario,North York,Recommendation,XPS,30,24
4258,Sophia Brownhill,Personal,Student,Canada,Ontario,Petrolia,Tech Blogs,XPS,1,24
4259,Matthew Bossons,Business,Software Engineer,United States,California,Salinas,Tech Blogs,Servers,61,24
4260,Bria McGraffin,Personal,Software Engineer,United States,California,Fresno,Recommendation,Servers,1,12
4261,Aubrette Disley,Business,Software Engineer,United States,California,San Jose,Recommendation,Servers,83,36
4262,Jesus Longthorne,Business,Software Engineer,United States,California,Los Angeles,Recommendation,Servers,45,36
4263,Leif Kilford,Personal,Chef,United States,California,San Jose,Social Networks,Servers,1,24
4264,Maire Willstrop,Personal,Software Engineer,Canada,Ontario,Petawawa,Social Networks,XPS,2,36
4265,Tamera Larimer,Personal,Student,Canada,Ontario,Lambton Shores,Tech Blogs,XPS,1,36
4266,Jazmin Baack,Business,Chef,Canada,Ontario,Toronto,Tech Blogs,XPS,100,36
4267,Iolanthe Hopkins,Personal,Chef,United States,California,Whittier,Tech Blogs,Servers,1,36
4268,Noel Bulter,Business,Game developer,United States,California,Oakland,Social Networks,Alienware,38,6
4269,Robina Lamden,Business,Student,United States,California,Lancaster,Social Networks,Servers,77,12
4270,Nefen Alston,Business,Software Engineer,United States,California,San Diego,Social Networks,Servers,79,6
4271,Blinni Oliver-Paull,Business,Software Engineer,United States,California,Sacramento,Social Networks,Servers,36,24
4272,Ilene Gabler,Business,Chef,Canada,Ontario,South River,Offline,XPS,98,24
4273,Artie Lines,Business,Software Engineer,United States,California,San Diego,Social Networks,Servers,62,24
4274,Sigvard Perche,Business,Chef,Canada,Ontario,Delaware,Recommendation,XPS,77,36
4275,Shepard Wharrier,Personal,Software Engineer,Canada,Ontario,Atikokan,Tech Blogs,XPS,2,6
4276,Chiquia Easton,Business,Student,United States,California,San Francisco,Social Networks,XPS,75,24
4277,Tersina Work,Business,Student,United States,California,San Diego,Offline,Servers,66,36
4278,Rollin Martonfi,Personal,Game developer,Canada,Ontario,Niagara Falls,Offline,XPS,1,12
4279,Raynell Clemencet,Personal,Software Engineer,United States,California,San Francisco,Recommendation,Servers,2,12
4280,Mickie Kinch,Business,Software Engineer,United States,California,San Francisco,Offline,Servers,57,24
4281,Ad Fraschini,Business,Software Engineer,United States,California,Sacramento,Offline,Servers,40,12
4282,Hannie Rodda,Personal,Student,Canada,Ontario,Oshawa,Social Networks,XPS,1,12
4283,Kalila Loveguard,Business,Chef,Canada,Ontario,Collingwood,Offline,XPS,50,36
4284,Si Dealy,Personal,Software Engineer,Canada,Ontario,Midland,Recommendation,XPS,1,12
4285,Valaree Begg,Business,Chef,Canada,Ontario,Carleton Place,Offline,XPS,48,12
4286,Kaela O'Hallagan,Business,Software Engineer,United States,California,San Diego,Recommendation,Servers,33,36
4287,Daile Prettjohn,Business,Student,United States,California,San Francisco,Tech Blogs,Servers,23,24
4288,Asa Astling,Personal,Game developer,United States,California,Pasadena,Recommendation,Alienware,1,24
4289,Alisa McEniry,Personal,Game developer,United States,California,Oakland,Social Networks,Servers,2,12
4290,Tybi Clemett,Personal,Chef,United States,California,Torrance,Offline,Servers,2,6
4291,Heloise Arlidge,Business,Game developer,United States,California,Torrance,Recommendation,Servers,21,12
4292,Adelbert McEvilly,Business,Software Engineer,Canada,Ontario,Norfolk County,Recommendation,XPS,84,36
4293,Ab Harte,Personal,Chef,Canada,Ontario,Peterborough,Tech Blogs,XPS,1,12
4294,Clary Aldie,Business,Student,Canada,Ontario,Keswick,Tech Blogs,XPS,46,24
4295,Parrnell Magner,Business,Software Engineer,United States,California,Pasadena,Tech Blogs,Servers,76,6
4296,Stevie Gatman,Personal,Software Engineer,United States,California,San Francisco,Offline,Alienware,1,36
4297,Janice Knappe,Personal,Chef,Canada,Ontario,Fort Erie,Social Networks,XPS,2,6
4298,Gayle Jorcke,Business,Chef,Canada,Ontario,Greater Napanee,Tech Blogs,Inspiron,41,12
4299,Wyndham Barbe,Business,Student,United States,California,San Jose,Social Networks,Servers,82,6
4300,Lana Ellgood,Business,Student,Canada,Ontario,Espanola,Social Networks,XPS,55,12
4301,Harley Bottomer,Business,Student,United States,California,Los Angeles,Offline,Servers,24,36
4302,Zuzana Borlease,Business,Software Engineer,Canada,Ontario,Greater Napanee,Social Networks,XPS,88,12
4303,Lindsay Janko,Business,Software Engineer,United States,California,San Jose,Offline,Servers,45,6
4304,Glori Emerson,Business,Software Engineer,United States,California,Garden Grove,Tech Blogs,Servers,91,24
4305,Kizzee Peaden,Business,Chef,United States,California,Chico,Offline,Servers,100,6
4306,Corrianne McBean,Business,Chef,United States,California,Santa Ana,Offline,Servers,72,12
4307,Jeffrey Francino,Business,Software Engineer,Canada,Ontario,Pembroke,Recommendation,XPS,46,36
4308,Alistair Scawton,Personal,Student,United States,California,Garden Grove,Social Networks,Servers,2,6
4309,Nero Keyho,Business,Chef,Canada,Ontario,Windsor,Offline,XPS,96,24
4310,Myriam New,Personal,Student,United States,California,Lancaster,Offline,Servers,1,36
4311,Clint Padula,Business,Chef,Canada,Ontario,St. Catharines,Social Networks,XPS,84,12
4312,Brandon Solon,Personal,Software Engineer,Canada,Ontario,Barrie,Offline,XPS,1,24
4313,Marisa Traylen,Business,Student,Canada,Ontario,Collingwood,Offline,XPS,22,12
4314,Ellary Grishechkin,Personal,Game developer,Canada,Ontario,St. Catharines,Recommendation,XPS,1,6
4315,Curcio Shorey,Business,Game developer,United States,California,Fullerton,Tech Blogs,Servers,100,6
4316,Blondell Hitscher,Business,Student,United States,California,Los Angeles,Offline,Servers,40,24
4317,Arlyne Pargent,Business,Software Engineer,United States,California,Whittier,Offline,Servers,82,24
4318,Paxon Raff,Business,Software Engineer,United States,California,Los Angeles,Tech Blogs,Servers,34,24
4319,Barbette MacIlriach,Personal,Student,Canada,Ontario,Oakville,Tech Blogs,XPS,1,6
4320,Larina Matyushenko,Business,Chef,United States,California,San Jose,Social Networks,Servers,52,12
4321,Brewster Gramer,Personal,Chef,United States,California,Torrance,Tech Blogs,Servers,2,6
4322,Kienan Rizzardini,Business,Game developer,Canada,Ontario,Ingersoll,Tech Blogs,XPS,63,12
4323,Wyatan Sibbert,Personal,Software Engineer,Canada,Ontario,Powassan,Recommendation,XPS,1,12
4324,Frasquito Ninnotti,Personal,Student,United States,California,Sacramento,Social Networks,Servers,1,24
4325,Rania Hance,Personal,Chef,United States,California,Sacramento,Recommendation,Servers,2,36
4326,Ursa McTavy,Personal,Software Engineer,United States,California,Fresno,Social Networks,Servers,1,12
4327,Enoch Hickenbottom,Personal,Chef,United States,California,San Diego,Tech Blogs,Servers,1,6
4328,Moe Garioch,Business,Software Engineer,United States,California,Orange,Tech Blogs,XPS,65,36
4329,Alexandr Vasin,Personal,Student,Canada,Ontario,Waterloo,Social Networks,Inspiron,1,12
4330,Gusta Castenda,Personal,Chef,United States,California,Sacramento,Social Networks,Alienware,1,24
4331,Blinni Graveson,Business,Game developer,Canada,Ontario,Pembroke,Offline,XPS,89,36
4332,Kayley Card,Business,Student,Canada,Ontario,Ottawa,Recommendation,XPS,38,24
4333,Stewart Fayers,Business,Game developer,Canada,Ontario,Woodstock,Offline,XPS,39,24
4334,Christel Pendrick,Personal,Software Engineer,Canada,Ontario,Pickering,Recommendation,XPS,1,6
4335,Millard Diddams,Business,Student,Canada,Ontario,Lambton Shores,Recommendation,XPS,72,12
4336,Ola Pietrzyk,Business,Software Engineer,United States,California,Anaheim,Recommendation,Servers,57,24
4337,Brannon Lowre,Business,Game developer,Canada,Ontario,Thorold,Recommendation,XPS,61,36
4338,Orran Coppens,Personal,Chef,Canada,Ontario,Ottawa,Recommendation,XPS,1,6
4339,Sayer Blaxeland,Personal,Game developer,United States,California,San Diego,Tech Blogs,Servers,1,6
4340,Haywood Lammenga,Business,Software Engineer,United States,California,Mountain View,Social Networks,Servers,97,12
4341,Tabina Filson,Business,Student,United States,California,Irvine,Social Networks,Servers,63,12
4342,Jena Tresise,Personal,Chef,United States,California,San Diego,Social Networks,Servers,2,6
4343,Edmund Sighard,Personal,Chef,United States,California,San Bernardino,Social Networks,Servers,2,12
4344,Jack Burkin,Personal,Chef,United States,California,Glendale,Recommendation,Servers,1,36
4345,Igor Dungay,Personal,Student,United States,California,Los Angeles,Social Networks,Servers,1,36
4346,Ode Kerwick,Business,Game developer,Canada,Ontario,Prince Edward,Offline,XPS,24,24
4347,Karleen Riddett,Business,Student,Canada,Ontario,Ingersoll,Offline,XPS,55,12
4348,Hortense Breeze,Personal,Software Engineer,Canada,Ontario,Midland,Recommendation,XPS,2,36
4349,Kettie Ovington,Business,Game developer,Canada,Ontario,Powassan,Recommendation,XPS,45,24
4350,Ellissa Mainds,Personal,Chef,United States,California,Sacramento,Recommendation,Servers,1,12
4351,Morley Ahren,Business,Game developer,Canada,Ontario,North York,Tech Blogs,XPS,93,6
4352,Leigha Hinstridge,Personal,Chef,United States,California,Bakersfield,Tech Blogs,Servers,1,36
4353,Gipsy Finney,Personal,Game developer,United States,California,Corona,Tech Blogs,Servers,2,12
4354,Elijah Banbrick,Business,Chef,United States,California,Los Angeles,Offline,Servers,98,24
4355,Mariette Bendell,Personal,Game developer,United States,California,Sacramento,Tech Blogs,Servers,2,6
4356,Janna Menere,Business,Game developer,Canada,Ontario,Rayside-Balfour,Tech Blogs,XPS,86,12
4357,Silvain Mothersole,Personal,Chef,United States,California,Burbank,Tech Blogs,Servers,1,36
4358,Karel Girardeau,Business,Software Engineer,United States,California,Van Nuys,Recommendation,Servers,73,24
4359,Sarena Ismirnioglou,Personal,Software Engineer,United States,California,Sacramento,Recommendation,Servers,1,36
4360,Addia Buncombe,Personal,Chef,United States,California,Petaluma,Tech Blogs,Servers,1,36
4361,Tanhya Sammes,Business,Student,United States,California,Sacramento,Tech Blogs,Servers,56,36
4362,Dotty Stodhart,Business,Student,United States,California,Oakland,Tech Blogs,Servers,27,24
4363,Carlen Blackey,Personal,Game developer,United States,California,Pasadena,Offline,Servers,1,36
4364,Merle Chancelier,Personal,Student,United States,California,San Jose,Tech Blogs,Servers,2,12
4365,Karly Owttrim,Personal,Software Engineer,Canada,Ontario,Stratford,Tech Blogs,XPS,2,36
4366,Rhonda Le Prevost,Personal,Student,United States,California,Pasadena,Tech Blogs,Servers,2,12
4367,Ninetta Vockins,Business,Software Engineer,United States,California,Salinas,Social Networks,Servers,43,24
4368,Leola Cranny,Business,Software Engineer,United States,California,Sacramento,Tech Blogs,Servers,90,12
4369,Mort Lambersen,Business,Student,United States,California,Pasadena,Social Networks,Servers,66,12
4370,Ida Sinfield,Business,Chef,United States,California,Salinas,Social Networks,Servers,62,24
4371,Winny Lamasna,Business,Student,United States,California,Van Nuys,Social Networks,Servers,54,36
4372,Kessia Kirkham,Business,Chef,Canada,Ontario,Dorchester,Social Networks,XPS,58,12
4373,Denise Longo,Personal,Game developer,Canada,Ontario,Kitchener,Tech Blogs,XPS,2,12
4374,Louise Allday,Personal,Student,Canada,Ontario,Atikokan,Tech Blogs,XPS,2,24
4375,Osborn Bernetti,Personal,Game developer,Canada,Ontario,St. Catharines,Tech Blogs,XPS,1,24
4376,Christan Bubeer,Personal,Game developer,Canada,Ontario,Bancroft,Social Networks,XPS,1,36
4377,Berton Fillery,Personal,Chef,Canada,Ontario,Brant,Recommendation,XPS,2,12
4378,Guido Cordner,Business,Software Engineer,Canada,Ontario,North York,Recommendation,XPS,69,36
4379,Carleton Delatour,Business,Chef,Canada,Ontario,Espanola,Offline,XPS,79,24
4380,Rolf Sample,Personal,Chef,United States,California,Oakland,Recommendation,Servers,1,24
4381,Katinka Edinburgh,Personal,Software Engineer,United States,California,Van Nuys,Offline,Servers,1,12
4382,Lamond Coveney,Business,Software Engineer,United States,California,Pasadena,Tech Blogs,Servers,93,36
4383,Mariele Titman,Business,Game developer,United States,California,Petaluma,Offline,Servers,51,12
4384,Christen Rosita,Business,Chef,United States,California,Mountain View,Tech Blogs,Servers,67,36
4385,Almeta Gregson,Business,Student,United States,California,Los Angeles,Social Networks,Servers,87,36
4386,Felicle Hawksley,Personal,Software Engineer,Canada,Ontario,Toronto,Recommendation,XPS,2,6
4387,Gaby Stanaway,Personal,Software Engineer,United States,California,Oceanside,Tech Blogs,Servers,2,36
4388,Antons Hollerin,Personal,Chef,Canada,Ontario,Sarnia,Recommendation,Alienware,2,6
4389,Darrin Tocque,Business,Student,Canada,Ontario,Port Colborne,Recommendation,XPS,25,24
4390,Roxie Servant,Personal,Student,United States,California,San Jose,Offline,XPS,2,6
4391,Carroll Paxforde,Business,Chef,United States,California,Pasadena,Offline,Servers,91,24
4392,Monah Gut,Personal,Software Engineer,United States,California,San Jose,Tech Blogs,Servers,2,12
4393,Jackqueline Shaw,Business,Game developer,Canada,Ontario,Mattawa,Offline,Inspiron,92,36
4394,Celesta Gudger,Personal,Chef,United States,California,Sacramento,Social Networks,Servers,2,24
4395,Jada Tebbs,Personal,Student,United States,California,Oakland,Tech Blogs,Servers,1,36
4396,Bambi Vicent,Personal,Software Engineer,Canada,Ontario,London,Recommendation,XPS,2,6
4397,Vitia Allicock,Personal,Game developer,United States,California,Santa Monica,Social Networks,Servers,1,24
4398,Bobinette Grayshan,Personal,Software Engineer,Canada,Ontario,Woodstock,Tech Blogs,XPS,2,36
4399,Corrine Beniesh,Personal,Software Engineer,United States,California,Petaluma,Social Networks,Servers,1,36
4400,Haven Tosdevin,Business,Student,United States,California,Pasadena,Recommendation,Servers,69,12
4401,Kynthia Shepstone,Personal,Student,United States,California,Oakland,Social Networks,Servers,2,36
4402,Maximo Danelut,Personal,Student,United States,California,San Jose,Tech Blogs,Servers,1,12
4403,Xena Glennie,Personal,Software Engineer,Canada,Ontario,Newmarket,Offline,XPS,2,36
4404,Stacie Witherop,Personal,Chef,Canada,Ontario,Lambton Shores,Recommendation,XPS,2,36
4405,Blaire Serris,Personal,Chef,Canada,Ontario,Pembroke,Tech Blogs,XPS,1,12
4406,Nils Kilgour,Business,Software Engineer,United States,California,Lancaster,Offline,Servers,76,36
4407,Goldina Kewzick,Business,Software Engineer,Canada,Ontario,Woodstock,Social Networks,XPS,81,24
4408,Field Vannini,Business,Chef,United States,California,Whittier,Tech Blogs,Servers,63,12
4409,Sonnie Burk,Business,Game developer,United States,California,Fullerton,Tech Blogs,Servers,53,36
4410,Kaila Stanmore,Personal,Software Engineer,Canada,Ontario,St. Catharines,Social Networks,XPS,1,6
4411,Marylee Yurenev,Personal,Software Engineer,Canada,Ontario,St. Catharines,Tech Blogs,XPS,2,36
4412,Curtice Fullager,Business,Software Engineer,Canada,Ontario,Woodstock,Offline,XPS,54,12
4413,Nariko Rapo,Business,Software Engineer,Canada,Ontario,Toronto,Social Networks,XPS,57,6
4414,Diann Testro,Personal,Student,United States,California,Newport Beach,Recommendation,Servers,1,36
4415,Gamaliel Prin,Business,Student,United States,California,San Diego,Recommendation,Servers,50,24
4416,Brynna Covell,Personal,Chef,United States,California,Sacramento,Social Networks,Servers,1,36
4417,Andie Mityashin,Business,Software Engineer,Canada,Ontario,Ajax,Tech Blogs,XPS,83,12
4418,Nicolle Goldring,Business,Chef,United States,California,Burbank,Offline,Servers,42,6
4419,Katlin Rising,Personal,Software Engineer,Canada,Ontario,Mississauga,Social Networks,XPS,2,36
4420,Fredi Blampied,Personal,Student,United States,California,Fresno,Offline,Servers,2,12
4421,Valentine Goldine,Personal,Software Engineer,United States,California,San Diego,Offline,Alienware,2,36
4422,Drusie Georgot,Business,Student,United States,California,Stockton,Recommendation,Servers,93,12
4423,Freddie Franzoli,Business,Software Engineer,United States,California,Sunnyvale,Social Networks,Servers,77,6
4424,Nanice Dashwood,Personal,Chef,Canada,Ontario,Markham,Offline,XPS,1,12
4425,Ingrim Ector,Business,Student,United States,California,Anaheim,Social Networks,Servers,73,24
4426,Kristi Smedmoor,Business,Student,United States,California,Orange,Recommendation,Servers,73,36
4427,Penn Carncross,Business,Game developer,Canada,Ontario,Greater Napanee,Recommendation,Inspiron,92,6
4428,Lonee Bentjens,Personal,Software Engineer,Canada,Ontario,Lambton Shores,Offline,XPS,2,6
4429,Nettle McCrae,Personal,Software Engineer,Canada,Ontario,Oshawa,Recommendation,XPS,1,6
4430,Alleyn Cheverton,Personal,Game developer,Canada,Ontario,Markham,Social Networks,XPS,1,6
4431,Kaylee O' Mulderrig,Business,Student,United States,California,Alhambra,Offline,Servers,86,24
4432,Tandi Claypole,Personal,Chef,United States,California,Stockton,Offline,Servers,2,6
4433,Merry Winridge,Personal,Student,United States,California,Mountain View,Social Networks,Servers,1,24
4434,Bryanty Versey,Business,Chef,United States,California,Los Angeles,Social Networks,Servers,27,24
4435,Katrina Vittery,Personal,Chef,Canada,Ontario,Brampton,Recommendation,XPS,2,12
4436,Wheeler Townley,Business,Software Engineer,Canada,Ontario,Mattawa,Offline,XPS,67,24
4437,Lewie Vahey,Personal,Software Engineer,United States,California,San Diego,Recommendation,Servers,2,12
4438,Georgeanne Luscombe,Business,Software Engineer,United States,California,Fresno,Social Networks,Servers,55,24
4439,Fields Obbard,Business,Student,United States,California,San Jose,Tech Blogs,Servers,33,36
4440,Salvatore McKoy,Personal,Software Engineer,United States,California,San Jose,Tech Blogs,Servers,2,36
4441,Tarra Abell,Personal,Game developer,United States,California,Sacramento,Tech Blogs,Chromebook,1,12
4442,Marris Parffrey,Personal,Student,Canada,Ontario,Gananoque,Recommendation,XPS,2,12
4443,Thomasa Reef,Business,Chef,United States,California,Fullerton,Recommendation,XPS,20,24
4444,Storm Jahan,Personal,Chef,United States,California,Sacramento,Recommendation,Servers,2,6
4445,Fraser Legonidec,Business,Student,United States,California,Glendale,Tech Blogs,Servers,94,24
4446,Tillie Marfell,Business,Game developer,Canada,Ontario,Pickering,Recommendation,XPS,93,6
4447,Christoffer Grigoli,Personal,Software Engineer,United States,California,Sacramento,Tech Blogs,Servers,1,6
4448,Marius Newey,Business,Student,Canada,Ontario,North York,Offline,XPS,52,24
4449,Devin Kilborn,Personal,Student,Canada,Ontario,Little Current,Offline,XPS,2,24
4450,Berkly Whieldon,Personal,Software Engineer,Canada,Ontario,Vaughan,Social Networks,XPS,1,36
4451,Reeva Waren,Business,Game developer,United States,California,Newport Beach,Social Networks,Servers,58,12
4452,Marietta Boater,Business,Student,Canada,Ontario,Stratford,Offline,Inspiron,42,24
4453,Zabrina Scini,Business,Software Engineer,Canada,Ontario,North York,Social Networks,XPS,28,6
4454,Gran Corradengo,Personal,Game developer,United States,California,Stockton,Offline,Servers,1,6
4455,Ginnie Sumpter,Personal,Software Engineer,Canada,Ontario,Iroquois Falls,Social Networks,XPS,2,12
4456,Donetta Bollands,Personal,Student,United States,California,Oceanside,Tech Blogs,Servers,2,12
4457,Yolande Trippett,Business,Software Engineer,Canada,Ontario,Pickering,Offline,XPS,29,6
4458,Whitaker Giovannacci,Business,Student,Canada,Ontario,Espanola,Tech Blogs,XPS,24,24
4459,Palm Brookbank,Business,Student,United States,California,Palmdale,Recommendation,Servers,83,36
4460,Fonz Priddle,Personal,Chef,United States,California,Petaluma,Offline,Servers,2,24
4461,Norrie Bartosiak,Personal,Software Engineer,United States,California,Inglewood,Social Networks,Servers,1,36
4462,Desmund Ughelli,Personal,Student,United States,California,Sacramento,Social Networks,Servers,2,12
4463,Fairfax Sparrowe,Personal,Student,Canada,Ontario,Kitchener,Offline,XPS,2,36
4464,Idaline Dickins,Business,Chef,United States,California,San Diego,Tech Blogs,Servers,46,36
4465,Kip Boldt,Business,Game developer,United States,California,Stockton,Offline,Servers,25,24
4466,Wayne des Remedios,Business,Student,United States,California,San Diego,Tech Blogs,Servers,92,24
4467,Joli Hemmingway,Business,Student,Canada,Ontario,Midland,Recommendation,XPS,86,6
4468,Kennan McGeachie,Business,Student,Canada,Ontario,Barrie,Tech Blogs,XPS,41,6
4469,Dix Befroy,Personal,Chef,Canada,Ontario,Powassan,Social Networks,XPS,1,6
4470,Evangeline Jarrard,Business,Game developer,United States,California,Fresno,Tech Blogs,Servers,75,36
4471,Belinda Hirschmann,Business,Game developer,United States,California,Los Angeles,Social Networks,Servers,35,24
4472,Carroll Durkin,Business,Student,Canada,Ontario,Timmins,Tech Blogs,XPS,41,36
4473,Adela Fould,Personal,Student,United States,California,Corona,Recommendation,Servers,2,24
4474,Pieter Snoad,Business,Game developer,United States,California,Torrance,Offline,Servers,69,24
4475,Amalle Keeves,Personal,Game developer,United States,California,San Jose,Recommendation,Servers,2,12
4476,Mavra Zukierman,Personal,Game developer,United States,California,Sacramento,Tech Blogs,Servers,1,6
4477,Portia Chesterman,Personal,Software Engineer,United States,California,San Francisco,Offline,Servers,1,36
4478,Edouard Houlaghan,Personal,Chef,United States,California,San Francisco,Tech Blogs,Servers,2,6
4479,Mathe Matushevich,Personal,Student,Canada,Ontario,Renfrew,Offline,XPS,2,24
4480,Birgitta Basnett,Personal,Chef,Canada,Ontario,Port Colborne,Offline,XPS,2,36
4481,Tommy Focke,Personal,Student,United States,California,Sunnyvale,Social Networks,Servers,2,36
4482,Jocelyn Touson,Personal,Game developer,United States,California,San Diego,Tech Blogs,Servers,1,6
4483,Salomone Wanden,Personal,Game developer,United States,California,San Jose,Offline,Servers,1,24
4484,Nehemiah Aspinall,Personal,Software Engineer,United States,California,Santa Rosa,Offline,Servers,1,24
4485,Bartholomeus Hurrion,Personal,Software Engineer,United States,California,Pasadena,Social Networks,Servers,2,36
4486,Kirbee Parks,Business,Software Engineer,United States,California,Sacramento,Tech Blogs,Servers,50,12
4487,Kathlin Rummins,Business,Chef,United States,California,Inglewood,Offline,Servers,59,24
4488,Aurilia Scawn,Business,Software Engineer,Canada,Ontario,North Perth,Tech Blogs,XPS,38,12
4489,Clementine Kertess,Personal,Software Engineer,United States,California,Mountain View,Social Networks,Servers,1,24
4490,Jerrine Hatcher,Personal,Game developer,United States,California,Santa Cruz,Tech Blogs,Servers,1,6
4491,Ricky Jertz,Business,Game developer,Canada,Ontario,Owen Sound,Offline,XPS,23,24
4492,Del Corballis,Personal,Student,Canada,Ontario,Innisfil,Social Networks,XPS,1,6
4493,Terrence Lowther,Business,Student,Canada,Ontario,Skatepark,Tech Blogs,XPS,87,36
4494,Jania Coulthurst,Business,Game developer,Canada,Ontario,Innisfil,Offline,XPS,41,36
4495,Trescha Pym,Business,Chef,United States,California,Oakland,Social Networks,Servers,35,6
4496,Bernard Sperry,Business,Software Engineer,Canada,Ontario,Delaware,Tech Blogs,XPS,55,36
4497,Baudoin Hubbins,Business,Student,United States,California,Mountain View,Tech Blogs,Servers,48,12
4498,Anallese Spafford,Personal,Chef,United States,California,Sacramento,Recommendation,Servers,2,36
4499,Amandi Clampe,Business,Game developer,United States,California,Pasadena,Social Networks,Servers,42,12
4500,Alwyn Forst,Business,Game developer,Canada,Ontario,Hearst,Tech Blogs,XPS,71,6
4501,Roscoe Gallamore,Business,Game developer,United States,California,Pasadena,Tech Blogs,Servers,43,24
4502,Anna-maria Grumbridge,Personal,Software Engineer,United States,California,Whittier,Social Networks,Servers,1,36
4503,Lurlene MacKeig,Business,Student,United States,California,Orange,Offline,Servers,32,36
4504,Rosanna Allgood,Personal,Student,United States,California,Sacramento,Recommendation,Servers,1,24
4505,Lorne Lamport,Personal,Software Engineer,United States,California,Newport Beach,Offline,Servers,2,12
4506,Gizela MacLachlan,Personal,Game developer,United States,California,San Diego,Recommendation,Servers,2,36
4507,Erena Mowbury,Business,Software Engineer,Canada,Ontario,Mattawa,Social Networks,XPS,67,12
4508,Don Presland,Personal,Software Engineer,Canada,Ontario,Casselman,Tech Blogs,XPS,2,6
4509,Allayne Orta,Personal,Chef,Canada,Ontario,Kingston,Offline,XPS,1,12
4510,Kay Smee,Business,Chef,United States,California,Fresno,Offline,Servers,66,12
4511,Orsa Wardhough,Personal,Chef,United States,California,Los Angeles,Tech Blogs,Servers,1,24
4512,Lion Guittet,Business,Chef,Canada,Ontario,Carleton Place,Social Networks,XPS,94,36
4513,Halsey Polotti,Business,Software Engineer,United States,California,Petaluma,Recommendation,Servers,25,6
4514,Tomkin Plowman,Business,Student,United States,California,Salinas,Tech Blogs,Servers,61,36
4515,Keenan Shillito,Business,Chef,United States,California,Los Angeles,Recommendation,Servers,70,36
4516,Wally Cakes,Personal,Software Engineer,Canada,Ontario,Willowdale,Offline,XPS,2,24
4517,Brodie Kenwin,Personal,Chef,United States,California,Fullerton,Recommendation,Servers,1,6
4518,Casandra Torregiani,Personal,Chef,Canada,Ontario,Port Colborne,Recommendation,XPS,2,6
4519,Evin Barkworth,Personal,Software Engineer,Canada,Ontario,Woodstock,Social Networks,XPS,1,36
4520,Gabrila Snibson,Personal,Software Engineer,United States,California,Santa Barbara,Social Networks,Servers,2,12
4521,Alexis St Quenin,Business,Software Engineer,United States,California,Sunnyvale,Social Networks,Servers,71,36
4522,Belva Bernardoux,Personal,Student,Canada,Ontario,Toronto,Tech Blogs,XPS,2,36
4523,Leroy Wynett,Personal,Chef,Canada,Ontario,Norfolk County,Tech Blogs,XPS,2,24
4524,Evelin Iverson,Personal,Chef,United States,California,Sacramento,Social Networks,Servers,2,12
4525,Hester Cliffe,Personal,Chef,United States,California,Pasadena,Social Networks,Servers,2,6
4526,Kimble Sprowle,Personal,Game developer,Canada,Ontario,Napanee Downtown,Tech Blogs,XPS,2,24
4527,Wynn Andrysiak,Personal,Student,United States,California,San Jose,Tech Blogs,Servers,2,12
4528,Dieter Easby,Personal,Chef,United States,California,Bakersfield,Recommendation,Servers,2,24
4529,Lian De Mattei,Personal,Software Engineer,United States,California,Los Angeles,Social Networks,Servers,1,24
4530,Jeanna Olyonov,Business,Game developer,United States,California,Los Angeles,Social Networks,Servers,43,6
